ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
MQ,False,"[1, 2, 1, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,10,2,8,9,2,[],[],[],-1,-1,-1
PQ,False,"[1, 1, 2, 1, 0, 0, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 7]}, {'CONV': [64, 3]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,3,7,4,0,6,[],[],[],-1,-1,-1
MQ-PQ(1),True,"[1, 2, 1, 1, 0, 0, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,8,7,0,5,9,"[1, 2, 1, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 1, 0, 0, 3, -1, 0, 5, 2, 0, 5, 0, 3]",[],-1,-1,-1
MQ-PQ(2),True,"[1, 1, 2, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 7]}, {'CONV': [128, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,3,4,10,1,6,"[1, 2, 1, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 1, 0, 0, 3, -1, 0, 5, 2, 0, 5, 0, 3]",[],-1,-1,-1
QT,False,"[1, 2, 0, 1, 2, 0, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,6,0,4,2,3,[],[],[],-1,-1,-1
MQ,False,"[1, 2, 1, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,10,2,8,9,2,[],[],[],-1,-1,-1
QT-MQ(1),True,"[1, 2, 0, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [128, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,4,5,9,8,4,"[1, 2, 0, 1, 2, 0, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 2, 1, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
QT-MQ(2),True,"[1, 2, 1, 1, 2, 0, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,8,1,5,0,6,"[1, 2, 0, 1, 2, 0, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[1, 2, 1, 1, 1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
PQ,False,"[1, 1, 2, 1, 0, 0, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 7]}, {'CONV': [64, 3]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,3,7,4,0,6,[],[],[],-1,-1,-1
O,False,"[1, 0, 0, 1, 2, 1, 1, 2, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [256, 5]}, {'CONV': [256, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,5,2,4,8,2,10,[],[],[],-1,-1,-1
