ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Hours,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
KL,FALSE,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.66140002,1.460499763,1108509374,0.020641771,3178634,[],[],[],-1,-1,-1
HO,FALSE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.684499979,1.448834062,418806558,0.014483263,2048714,[],[],[],-1,-1,-1
KL-HO(1),TRUE,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.665099978,1.548564196,1238006558,0.020891469,2848906,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
KL-HO(2),TRUE,"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [64, 5]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.66900003,1.378908753,289309374,0.013070334,2378442,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 2, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
SC,FALSE,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [128, 7]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.674899995,1.128975511,2814248286,0.031215249,11130378,[],[],[],-1,-1,-1
DT,FALSE,"[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.659600019,1.58326757,1404423326,0.023953837,7921738,[],[],[],-1,-1,-1
SC-DT(1),TRUE,"[1, 1, 0, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [128, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.659099996,1.701243162,1554074782,0.024674771,8067914,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
SC-DT(2),TRUE,"[1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [128, 7]}, {'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.629400015,1.676214218,2404549982,0.028027242,10730250,"[1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]",[],-1,-1,-1
KL,FALSE,"[1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.668600023,1.479932547,1108509374,0.020018717,3178634,[],[],[],-1,-1,-1
DT,FALSE,"[1, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 2, -1, 1, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [256, 3]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.646899998,1.646569967,1404423326,0.023517626,7921738,[],[],[],-1,-1,-1
